iter	Passed	Remaining
415	2786	3911
416	2792	3904
417	2797	3895
418	2802	3885
419	2808	3878
420	2815	3871
421	2821	3864
422	2825	3854
423	2831	3846
424	2836	3837
425	2840	3827
426	2844	3816
427	2850	3809
428	2853	3798
429	2859	3790
430	2866	3783
431	2871	3775
432	2877	3767
433	2883	3760
434	2889	3753
435	2894	3743
436	2899	3735
437	2905	3728
438	2910	3719
439	2916	3711
440	2922	3705
441	2928	3697
442	2933	3688
443	2940	3682
444	2944	3672
445	2951	3665
446	2957	3658
447	2963	3652
448	2970	3644
449	2976	3637
450	2982	3630
451	2988	3622
452	2993	3614
453	3002	3610
454	3009	3604
455	3018	3600
456	3026	3596
457	3034	3590
458	3040	3583
459	3045	3574
460	3049	3565
461	3054	3557
462	3059	3547
463	3064	3540
464	3071	3534
465	3078	3527
466	3084	3520
467	3090	3513
468	3094	3504
469	3100	3496
470	3107	3490
471	3113	3483
472	3120	3476
473	3126	3469
474	3132	3462
475	3139	3456
476	3145	3449
477	3151	3441
478	3156	3433
479	3163	3426
480	3169	3420
481	3176	3413
482	3182	3406
483	3189	3400
484	3195	3393
485	3200	3385
486	3204	3376
487	3210	3367
488	3215	3359
489	3221	3353
490	3226	3345
491	3230	3335
492	3235	3327
493	3243	3322
494	3251	3317
495	3256	3309
496	3262	3301
497	3267	3293
498	3273	3286
499	3279	3279
500	3285	3272
501	3293	3266
502	3297	3258
503	3304	3252
504	3310	3244
505	3316	3237
506	3322	3230
507	3327	3222
508	3336	3218
509	3342	3211
510	3349	3205
511	3356	3198
512	3361	3191
513	3369	3185
514	3374	3178
515	3380	3170
516	3386	3163
517	3393	3157
518	3400	3151
519	3406	3144
520	3413	3138
521	3418	3130
522	3425	3123
523	3429	3115
524	3434	3107
525	3440	3100
526	3446	3093
527	3452	3086
528	3458	3079
529	3463	3071
530	3470	3065
531	3476	3058
532	3483	3052
533	3490	3045
534	3496	3038
535	3501	3030
536	3506	3022
537	3511	3015
538	3516	3007
539	3523	3001
540	3528	2993
541	3534	2987
542	3540	2980
543	3547	2973
544	3554	2967
545	3560	2960
546	3566	2953
547	3572	2946
548	3578	2939
549	3584	2932
550	3590	2925
551	3596	2918
552	3602	2911
553	3608	2905
554	3616	2899
555	3622	2892
556	3628	2886
557	3634	2879
558	3640	2872
559	3646	2865
560	3652	2858
561	3660	2852
562	3665	2845
563	3671	2838
564	3677	2831
565	3684	2825
566	3690	2818
567	3695	2810
568	3699	2802
569	3706	2795
570	3714	2790
571	3720	2783
572	3728	2778
573	3737	2774
574	3745	2768
575	3750	2760
576	3756	2753
577	3763	2747
578	3769	2740
579	3773	2732
580	3778	2724
581	3785	2718
582	3792	2712
583	3798	2706
584	3806	2700
585	3813	2694
586	3820	2688
587	3825	2680
588	3830	2673
589	3836	2665
590	3841	2658
591	3848	2652
592	3854	2645
593	3862	2639
594	3868	2633
595	3874	2626
596	3880	2619
597	3886	2612
598	3892	2606
599	3899	2599
600	3904	2591
601	3910	2585
602	3916	2578
603	3925	2573
604	3931	2567
605	3936	2559
606	3941	2552
607	3947	2545
608	3954	2538
609	3962	2533
610	3971	2528
611	3978	2522
612	3985	2516
613	3992	2509
614	3999	2503
615	4006	2497
616	4014	2492
617	4021	2485
618	4030	2480
619	4037	2474
620	4044	2468
621	4050	2461
622	4056	2454
623	4063	2448
624	4070	2442
625	4077	2436
626	4085	2430
627	4091	2423
628	4097	2417
629	4104	2410
630	4112	2404
631	4119	2398
632	4124	2391
633	4132	2385
634	4139	2379
635	4148	2374
636	4156	2368
637	4163	2362
638	4170	2355
639	4178	2350
640	4186	2344
641	4194	2338
642	4200	2332
643	4206	2325
644	4216	2320
645	4224	2314
646	4232	2309
647	4239	2302
648	4245	2296
649	4253	2290
650	4263	2285
651	4273	2281
652	4280	2274
653	4285	2267
654	4292	2260
655	4299	2254
656	4305	2247
657	4310	2240
658	4316	2233
659	4322	2226
660	4326	2218
661	4333	2212
662	4340	2206
663	4348	2200
664	4353	2193
665	4360	2187
666	4368	2180
667	4374	2174
668	4381	2167
669	4387	2161
670	4393	2154
671	4399	2147
672	4406	2140
673	4412	2134
674	4419	2127
675	4425	2121
676	4430	2113
677	4435	2106
678	4440	2099
679	4449	2093
680	4456	2087
681	4462	2080
682	4468	2074
683	4474	2067
684	4482	2061
685	4488	2054
686	4494	2047
687	4499	2040
688	4506	2033
689	4513	2027
690	4520	2021
691	4527	2015
692	4533	2008
693	4539	2001
694	4545	1994
695	4550	1987
696	4556	1980
697	4561	1973
698	4568	1967
699	4574	1960
700	4582	1954
701	4586	1947
702	4593	1940
703	4600	1934
704	4608	1928
705	4617	1922
706	4624	1916
707	4631	1910
708	4638	1903
709	4645	1897
710	4651	1890
711	4656	1883
712	4661	1876
713	4667	1869
714	4673	1862
715	4677	1855
716	4683	1848
717	4695	1844
718	4702	1837
719	4708	1830
720	4713	1824
721	4720	1817
722	4724	1810
723	4731	1803
724	4737	1796
725	4744	1790
726	4750	1784
727	4757	1777
728	4763	1770
729	4769	1763
730	4773	1756
731	4780	1750
732	4786	1743
733	4793	1736
734	4797	1729
735	4806	1724
736	4813	1717
737	4822	1711
738	4829	1705
739	4837	1699
740	4845	1693
741	4852	1687
742	4859	1681
743	4865	1674
744	4871	1667
745	4880	1661
746	4887	1655
747	4895	1649
748	4902	1642
749	4909	1636
750	4915	1629
751	4925	1624
752	4930	1617
753	4937	1610
754	4943	1604
755	4949	1597
756	4954	1590
757	4960	1583
758	4965	1576
759	4973	1570
760	4981	1564
761	4987	1557
762	4993	1551
763	4999	1544
764	5005	1537
765	5014	1531
766	5020	1525
767	5027	1518
768	5034	1512
769	5043	1506
770	5048	1499
771	5053	1492
772	5060	1486
773	5067	1479
774	5072	1472
775	5078	1466
776	5086	1459
777	5091	1452
778	5098	1446
779	5104	1439
780	5109	1432
781	5115	1426
782	5120	1418
783	5126	1412
784	5133	1406
785	5141	1399
786	5147	1393
787	5155	1386
788	5162	1380
789	5173	1375
790	5181	1369
791	5187	1362
792	5193	1355
793	5201	1349
794	5206	1342
795	5214	1336
796	5223	1330
797	5229	1323
798	5235	1317
799	5242	1310
800	5248	1303
801	5255	1297
802	5263	1291
803	5269	1284
804	5277	1278
805	5283	1271
806	5291	1265
807	5296	1258
808	5302	1251
809	5308	1245
810	5315	1238
811	5323	1232
812	5329	1225
813	5337	1219
814	5343	1212
815	5350	1206
816	5354	1199
817	5360	1192
818	5366	1185
819	5371	1179
820	5377	1172
821	5382	1165
822	5387	1158
823	5393	1151
824	5399	1145
825	5407	1139
826	5415	1132
827	5424	1126
828	5430	1120
829	5435	1113
830	5441	1106
831	5447	1100
832	5454	1093
833	5461	1087
834	5467	1080
835	5474	1073
836	5481	1067
837	5486	1060
838	5493	1054
839	5499	1047
840	5505	1040
841	5512	1034
842	5519	1027
843	5525	1021
844	5531	1014
845	5537	1008
846	5543	1001
847	5549	994
848	5555	988
849	5561	981
850	5566	974
851	5573	968
852	5580	961
853	5583	954
854	5591	948
855	5598	941
856	5606	935
857	5612	928
858	5619	922
859	5628	916
860	5633	909
861	5639	902
862	5647	896
863	5657	890
864	5664	884
865	5669	877
866	5674	870
867	5681	863
868	5687	857
869	5693	850
870	5700	844
871	5706	837
872	5711	830
873	5716	824
874	5722	817
875	5729	810
876	5733	804
877	5738	797
878	5742	790
879	5749	783
880	5756	777
881	5763	771
882	5769	764
883	5775	757
884	5780	751
885	5785	744
886	5791	737
887	5797	731
888	5803	724
889	5810	718
890	5814	711
891	5819	704
892	5825	698
893	5831	691
894	5838	684
895	5845	678
896	5851	671
897	5858	665
898	5865	658
899	5871	652
900	5878	645
901	5882	639
902	5890	632
903	5896	626
904	5903	619
905	5909	613
906	5916	606
907	5923	600
908	5932	593
909	5939	587
910	5946	580
911	5953	574
912	5961	568
913	5967	561
914	5972	554
915	5977	548
916	5984	541
917	5991	535
918	5996	528
919	6003	522
920	6010	515
921	6017	509
922	6023	502
923	6030	495
924	6037	489
925	6042	482
926	6047	476
927	6053	469
928	6060	463
929	6066	456
930	6073	450
931	6079	443
932	6086	437
933	6093	430
934	6099	424
935	6106	417
936	6113	411
937	6120	404
938	6130	398
939	6137	391
940	6144	385
941	6150	378
942	6157	372
943	6165	365
944	6172	359
945	6180	352
946	6188	346
947	6196	339
948	6203	333
949	6210	326
950	6217	320
951	6224	313
952	6228	307
953	6232	300
954	6241	294
955	6247	287
956	6254	281
957	6259	274
958	6266	267
959	6271	261
960	6277	254
961	6282	248
962	6288	241
963	6293	235
964	6298	228
965	6305	221
966	6312	215
967	6318	208
968	6324	202
969	6331	195
970	6336	189
971	6343	182
972	6350	176
973	6358	169
974	6367	163
975	6374	156
976	6380	150
977	6387	143
978	6392	137
979	6398	130
980	6404	124
981	6409	117
982	6416	110
983	6423	104
984	6430	97
985	6438	91
986	6444	84
987	6449	78
988	6455	71
989	6460	65
990	6467	58
991	6474	52
992	6481	45
993	6485	39
994	6492	32
995	6499	26
996	6504	19
997	6510	13
998	6514	6
999	6521	0
