iter	RMSE
283	0.1507235058
284	0.1507234783
285	0.1507106845
286	0.1506944605
287	0.1506750856
288	0.1506617039
289	0.1506483021
290	0.1506311496
291	0.1506145862
292	0.1505902565
293	0.1505792257
294	0.1505792247
295	0.1505688317
296	0.1505475934
297	0.1505424283
298	0.1505423885
299	0.1505412588
300	0.1505253139
301	0.1505109807
302	0.1504957552
303	0.1504753408
304	0.150473141
305	0.1504645735
306	0.1504384724
307	0.1504383892
308	0.150423575
309	0.1504018961
310	0.1504018927
311	0.1503783594
312	0.1503660344
313	0.1503659687
314	0.1503612543
315	0.1503403332
316	0.1503301668
317	0.1503197987
318	0.1503038065
319	0.1502920105
320	0.1502768314
321	0.150274219
322	0.1502588092
323	0.1502528025
324	0.1502418877
325	0.1502325226
326	0.1502319801
327	0.1502179686
328	0.1502043024
329	0.150194071
330	0.1501933139
331	0.1501795844
332	0.1501589561
333	0.1501463901
334	0.1501305964
335	0.1501227091
336	0.1501135167
337	0.1501074971
338	0.1501073831
339	0.1500916319
340	0.1500891673
341	0.1500824376
342	0.1500676131
343	0.1500574647
344	0.150037936
345	0.1500378991
346	0.1500236617
347	0.150023631
348	0.1500235473
349	0.1500046437
350	0.1499843305
351	0.1499837802
352	0.149972688
353	0.149970834
354	0.1499565079
355	0.1499470946
356	0.1499409894
357	0.1499303777
358	0.1499123111
359	0.1499122441
360	0.1499121828
361	0.1499117011
362	0.1499099001
363	0.1499022462
364	0.1498930205
365	0.1498863432
366	0.1498863075
367	0.1498722097
368	0.1498718034
369	0.1498626135
370	0.1498622491
371	0.1498575548
372	0.1498530074
373	0.1498483557
374	0.149834708
375	0.1498205624
376	0.1498162814
377	0.1498041333
378	0.1497967624
379	0.1497846699
380	0.1497686874
381	0.1497681522
382	0.149760501
383	0.1497466672
384	0.1497376707
385	0.1497215712
386	0.1497212207
387	0.149718601
388	0.149711908
389	0.1497003064
390	0.1496999875
391	0.149698371
392	0.1496980402
393	0.1496979982
394	0.149690943
395	0.1496797436
396	0.1496796974
397	0.1496757596
398	0.1496671968
399	0.1496614256
400	0.1496565032
401	0.1496544697
402	0.1496525186
403	0.1496490926
404	0.1496396749
405	0.1496225584
406	0.1496144189
407	0.1496136906
408	0.1496083232
409	0.1495956685
410	0.1495822762
411	0.1495819567
412	0.1495779872
413	0.1495646183
414	0.1495439623
415	0.1495377357
416	0.149537457
417	0.1495355247
418	0.1495232417
419	0.1495229898
420	0.1495222561
421	0.149521275
422	0.1495210394
